id,herbal_id,kelompok,status,alasan
1,1,Ibu Hamil,Peringatan,"Konsumsi dalam batas wajar bumbu makanan aman, namun ekstrak dosis tinggi dapat menstimulasi rahim."
2,1,Anak-anak,Aman (Sesuai Dosis),Sering dan aman digunakan secara tradisional sebagai penambah nafsu makan alami untuk anak-anak.
3,2,Ibu Hamil,Peringatan,Ekstrak kurkumin dosis tinggi dilarang karena dapat merangsang kontraksi rahim (uterotonik) dan memicu menstruasi prematur.
4,3,Ibu Hamil,Aman Terbatas,Aman untuk meredakan morning sickness dengan batas maksimal 1 gram per hari. Dosis berlebih meningkatkan risiko pendarahan.
5,4,-,belum ada data yang ditemukan,belum ada data yang ditemukan
6,5,-,belum ada data yang ditemukan,belum ada data yang ditemukan
7,6,Ibu Hamil & Menyusui,Kontraindikasi Fatal,Telah terbukti memiliki efek abortifacient (pemicu keguguran) dan dapat menembus ASI sehingga membahayakan bayi.
8,7,-,belum ada data yang ditemukan,belum ada data yang ditemukan
9,8,Ibu Hamil & Anak-anak,Kontraindikasi,Efek diuretik yang sangat kuat dapat memicu ketidakseimbangan elektrolit (kalium) yang berbahaya bagi perkembangan janin dan anak.
10,9,-,belum ada data yang ditemukan,belum ada data yang ditemukan
11,10,-,belum ada data yang ditemukan,belum ada data yang ditemukan
12,11,Ibu Hamil & Menyusui,Kontraindikasi,Secara historis digunakan sebagai peluruh haid sehingga berisiko memicu keguguran. Belum terbukti aman untuk bayi menyusui.
13,12,Ibu Hamil & Anak-anak,Kontraindikasi Mayor,Sangat toksik (beracun) bagi janin dan anak-anak. Dapat memicu kontraksi rahim prematur dan keracunan sistemik parah.
14,13,-,belum ada data yang ditemukan,belum ada data yang ditemukan
15,14,-,belum ada data yang ditemukan,belum ada data yang ditemukan
16,15,-,belum ada data yang ditemukan,belum ada data yang ditemukan
17,16,-,belum ada data yang ditemukan,belum ada data yang ditemukan
18,17,-,belum ada data yang ditemukan,belum ada data yang ditemukan
19,18,-,belum ada data yang ditemukan,belum ada data yang ditemukan
