id,herbal_id,kondisi,status,keterangan
1,1,Batu Empedu (Cholelithiasis),Kontraindikasi,"Efek: Risiko penyumbatan saluran empedu dan kolik (nyeri hebat). Mekanisme: Temulawak bersifat kolagogum (merangsang produksi dan kontraksi kantung empedu). Jika ada batu, kontraksi ini bisa mendorong batu menyumbat saluran empedu."
2,2,Gangguan Pendarahan (Hemofilia / Trombositopenia),Kontraindikasi,Efek: Memperlama waktu pendarahan spontan. Mekanisme: Senyawa kurkumin menghambat jalur agregasi trombosit secara alami.
3,2,Penyakit Refluks Gastroesofageal (GERD) Parah,Peringatan,Efek: Iritasi lambung jika dosis tinggi. Mekanisme: Kunyit merangsang sekresi asam lambung berlebih pada individu yang sangat sensitif.
4,3,Menjelang Operasi (Pembedahan),Kontraindikasi,"Efek: Risiko pendarahan masif di meja operasi. Mekanisme: Gingerol dan shogaol menekan enzim tromboksan, menghambat pembekuan darah. Wajib distop 2 minggu sebelum operasi."
5,4,-,belum ada data yang ditemukan,belum ada data yang ditemukan
6,5,-,belum ada data yang ditemukan,belum ada data yang ditemukan
7,6,Kehamilan,Kontraindikasi Fatal,Efek: Risiko keguguran (Abortifacient). Mekanisme: Sambiloto dilaporkan memiliki efek menghentikan perkembangan trofoblas janin dan memicu kontraksi uterus.
8,6,"Penyakit Autoimun (Lupus, MS, Rheumatoid Arthritis)",Kontraindikasi,"Efek: Memperburuk gejala (Flare-up). Mekanisme: Sebagai imunostimulan kuat, sambiloto mengaktifkan sel imun yang justru sedang menyerang jaringan tubuh sendiri."
9,7,Penyakit Autoimun,Kontraindikasi,Efek: Memperparah peradangan autoimun. Mekanisme: Menstimulasi sistem imun (imunomodulator dominan ke arah stimulasi) yang berlawanan dengan kebutuhan imunosupresi pasien autoimun.
10,8,Gagal Ginjal Kronis & Edema Jantung,Kontraindikasi Mayor,"Efek: Komplikasi ekskresi cairan dan hiperkalemia. Mekanisme: Ginjal yang rusak tidak mampu memproses efek diuretik kuat dan asupan kalium tinggi dari kumis kucing, menyebabkan penumpukan di jantung."
11,9,"Penyakit Hati (Hepatitis, Sirosis)",Peringatan Keras,Efek: Hepatotoksisitas (Kerusakan Hati Akut). Mekanisme: Konsumsi pegagan oral dosis tinggi dalam jangka panjang (di atas 6 minggu) dilaporkan memberi beban toksik pada sel-sel hepatosit hati.
12,10,Sembelit Kronis (Konstipasi),Kontraindikasi,Efek: Menyebabkan obstruksi usus lambat. Mekanisme: Kandungan tanin sangat tinggi bersifat astringen (menciutkan mukosa) dan menghambat gerak peristaltik usus yang sudah lemah.
13,11,Gagal Ginjal (End-Stage Renal Disease),Kontraindikasi Fatal,"Efek: Henti jantung mendadak akibat Hiperkalemia. Mekanisme: Mengkudu (jus/buah) memiliki kadar Kalium (Potassium) sangat ekstrem. Ginjal yang gagal tidak bisa membuangnya, sehingga kalium merusak kelistrikan jantung."
14,11,Penyakit Liver / Sirosis,Kontraindikasi,Efek: Kerusakan hati tambahan. Mekanisme: Kandungan antrakuinon pada mengkudu dilaporkan bersifat hepatotoksik pada pasien yang sudah memiliki penyakit hati dasar.
15,12,Kehamilan,Kontraindikasi Mayor,Efek: Kontraksi prematur atau cacat janin. Mekanisme: Zat aktifnya bersifat sitotoksik dan uterotonik (memacu kontraksi otot rahim kuat). Sangat dilarang untuk ibu hamil.
16,13,-,belum ada data yang ditemukan,belum ada data yang ditemukan
17,14,-,belum ada data yang ditemukan,belum ada data yang ditemukan
18,15,-,belum ada data yang ditemukan,belum ada data yang ditemukan
19,16,-,belum ada data yang ditemukan,belum ada data yang ditemukan
20,17,Ulkus Peptikum (Tukak Lambung Berdarah),Kontraindikasi,Efek: Iritasi mukosa dan pendarahan lambung. Mekanisme: Allicin sangat mengiritasi jaringan lambung yang sudah luka dan secara bersamaan mencegah darah di area luka membeku.
21,18,Kerusakan Hati (Hepatitis C / Sirosis),Peringatan,Efek: Toksisitas hepatoseluler. Mekanisme: Kayu manis jenis Cassia (yang banyak beredar di Indonesia) mengandung kadar kumarin yang tinggi yang membebani kerja liver.
22,19,"Radang Usus (Crohn's Disease, Ulcerative Colitis) & Wasir",Kontraindikasi Mayor,Efek: Nyeri kram usus parah dan diare berdarah. Mekanisme: Aloin pada lateks lidah buaya adalah laksatif iritan keras yang memicu peradangan mukosa dan hiperperistaltik usus.
23,20,Kehamilan,Kontraindikasi,Efek: Risiko gangguan perkembangan janin. Mekanisme: Brotowali memiliki sifat sitotoksik dan efek hormonal yang dapat membahayakan kehamilan.
24,21,Kehamilan,Kontraindikasi Fatal,Efek: Memicu perdarahan rahim dan keguguran. Mekanisme: Senyawa protein seperti momorcharin memiliki aktivitas abortifacient (penggugur kandungan) secara langsung.
25,22,-,belum ada data yang ditemukan,belum ada data yang ditemukan
26,23,-,belum ada data yang ditemukan,belum ada data yang ditemukan
27,24,-,belum ada data yang ditemukan,belum ada data yang ditemukan
28,25,-,belum ada data yang ditemukan,belum ada data yang ditemukan
29,26,-,belum ada data yang ditemukan,belum ada data yang ditemukan
30,27,Kehamilan Dosis Ekstrak Terapeutik,Peringatan,Efek: Memicu kontraksi uterus ringan. Mekanisme: Minyak esensial jintan hitam dosis tinggi dapat bertindak sebagai emmenagogue (peluruh haid).
31,28,-,belum ada data yang ditemukan,belum ada data yang ditemukan
32,29,-,belum ada data yang ditemukan,belum ada data yang ditemukan
33,30,-,belum ada data yang ditemukan,belum ada data yang ditemukan
34,31,-,belum ada data yang ditemukan,belum ada data yang ditemukan
35,32,-,belum ada data yang ditemukan,belum ada data yang ditemukan
36,33,-,belum ada data yang ditemukan,belum ada data yang ditemukan
37,34,-,belum ada data yang ditemukan,belum ada data yang ditemukan
38,35,-,belum ada data yang ditemukan,belum ada data yang ditemukan
39,36,-,belum ada data yang ditemukan,belum ada data yang ditemukan
40,37,-,belum ada data yang ditemukan,belum ada data yang ditemukan
41,38,-,belum ada data yang ditemukan,belum ada data yang ditemukan
42,39,-,belum ada data yang ditemukan,belum ada data yang ditemukan
43,40,-,belum ada data yang ditemukan,belum ada data yang ditemukan
44,41,-,belum ada data yang ditemukan,belum ada data yang ditemukan
45,42,-,belum ada data yang ditemukan,belum ada data yang ditemukan
46,43,-,belum ada data yang ditemukan,belum ada data yang ditemukan
47,44,Penyakit Ginjal Kronis & Batu Ginjal,Kontraindikasi Fatal,"Efek: Gagal Ginjal Akut (Oxalate Nephropathy). Mekanisme: Kandungan asam oksalat pada belimbing wuluh sangat ekstrem. Mengonsumsi jusnya dapat memicu penumpukan kristal kalsium oksalat langsung di tubulus ginjal, menyumbat nefron secara ireversibel."
48,45,-,belum ada data yang ditemukan,belum ada data yang ditemukan
49,46,-,belum ada data yang ditemukan,belum ada data yang ditemukan
50,47,-,belum ada data yang ditemukan,belum ada data yang ditemukan
51,48,-,belum ada data yang ditemukan,belum ada data yang ditemukan
52,49,-,belum ada data yang ditemukan,belum ada data yang ditemukan
53,50,-,belum ada data yang ditemukan,belum ada data yang ditemukan
54,51,-,belum ada data yang ditemukan,belum ada data yang ditemukan
55,52,-,belum ada data yang ditemukan,belum ada data yang ditemukan
56,53,-,belum ada data yang ditemukan,belum ada data yang ditemukan
57,54,-,belum ada data yang ditemukan,belum ada data yang ditemukan
58,55,-,belum ada data yang ditemukan,belum ada data yang ditemukan
59,56,-,belum ada data yang ditemukan,belum ada data yang ditemukan
60,57,-,belum ada data yang ditemukan,belum ada data yang ditemukan
61,58,-,belum ada data yang ditemukan,belum ada data yang ditemukan
62,59,-,belum ada data yang ditemukan,belum ada data yang ditemukan
63,60,-,belum ada data yang ditemukan,belum ada data yang ditemukan
64,61,-,belum ada data yang ditemukan,belum ada data yang ditemukan
65,62,-,belum ada data yang ditemukan,belum ada data yang ditemukan
66,63,-,belum ada data yang ditemukan,belum ada data yang ditemukan
67,64,-,belum ada data yang ditemukan,belum ada data yang ditemukan
68,65,-,belum ada data yang ditemukan,belum ada data yang ditemukan
69,66,-,belum ada data yang ditemukan,belum ada data yang ditemukan
70,67,-,belum ada data yang ditemukan,belum ada data yang ditemukan
71,68,-,belum ada data yang ditemukan,belum ada data yang ditemukan
72,69,-,belum ada data yang ditemukan,belum ada data yang ditemukan
73,70,-,belum ada data yang ditemukan,belum ada data yang ditemukan
74,71,-,belum ada data yang ditemukan,belum ada data yang ditemukan
75,72,-,belum ada data yang ditemukan,belum ada data yang ditemukan
76,73,-,belum ada data yang ditemukan,belum ada data yang ditemukan
77,74,-,belum ada data yang ditemukan,belum ada data yang ditemukan
78,75,-,belum ada data yang ditemukan,belum ada data yang ditemukan
