id,herbal_id,ringkasan,resep_rumahan,keamanan_praktis
1,1,Tanaman asli Indonesia yang dijuluki 'Ginseng Indonesia'. Sangat ampuh untuk menjaga kesehatan hati (liver) dan menambah nafsu makan.,Rebus 3-5 iris rimpang kering dengan 2 gelas air dan gula batu hingga mendidih. Saring dan minum hangat.,Aman dikonsumsi harian. Hindari jika memiliki penyumbatan saluran empedu yang parah.
2,2,Rimpang berwarna oranye pekat. Bumbu dapur utama yang juga obat maag dan nyeri haid paling populer.,"Parut rimpang kunyit, peras airnya (tanpa ampas), campur madu dan sedikit lada hitam (agar lebih berkhasiat).",Aman. Hati-hati noda kuning sulit hilang. Konsultasi dokter jika sedang hamil muda.
3,3,Rimpang pedas penghangat tubuh. Andalan saat perjalanan jauh (mabuk) atau mual hamil.,"Geprek 1 ruas jahe yang sudah dibakar sebentar, seduh air panas + gula aren/madu.",Aman untuk ibu hamil dalam dosis wajar (maksimal 1g/hari). Dosis tinggi bisa menyebabkan 'heartburn' (dada panas).
4,4,"Rimpang kecil dengan aroma khas yang sangat kuat. Bahan utama jamu beras kencur, andalan untuk batuk dan stamina.","Cuci bersih 2 ruas kencur, kunyah mentah dengan sedikit garam lalu telan sarinya (ampuh untuk batuk). Untuk bengkak, parut kencur campur beras tumbuk.",Aman. Konsumsi berlebih bisa menyebabkan rasa panas di lambung (heartburn).
5,5,Rimpang berserat kasar yang biasa jadi bumbu rendang. Ternyata obat kulit anti-jamur yang sangat ampuh.,"Potong lengkuas segar, memarkan ujungnya sampai berserabut seperti kuas, celupkan ke garam, gosokkan kuat pada area kulit yang berjamur (panu).",Aman dikonsumsi. Penggunaan luar (gosok) bisa menyebabkan iritasi/perih pada kulit sensitif.
6,6,Si 'Raja Pahit' yang legendaris. Antibiotik alami yang wajib ada di kotak obat untuk flu dan radang.,Rebus 3-5 gram herba kering dengan 2 gelas air hingga sisa 1 gelas. Tambahkan madu saat minum karena rasanya SANGAT pahit.,DILARANG untuk ibu hamil (bisa menggugurkan kandungan). Penderita darah rendah harus hati-hati.
7,7,Rumput kecil dengan buah bulat di bawah daun. Spesialis penghancur batu ginjal dan peningkat imun tubuh.,Rebus 15-30 gram herba segar (seluruh tanaman) dengan air. Minum airnya. Jangan konsumsi lebih dari 2 minggu berturut-turut.,Dilarang untuk ibu hamil muda. Hati-hati bagi yang mau operasi (bisa mengencerkan darah).
8,8,Tanaman hias dengan benang sari panjang seperti kumis kucing. Spesialis saluran kencing dan ginjal.,Rebus 1 genggam daun kering seperti menyeduh teh (warna air akan coklat). Minum pagi dan sore.,Hati-hati bagi penderita gagal ginjal (harus kontrol dokter karena kalium tinggi) atau gangguan jantung.
9,9,Makanan otak dan kulit. Sering disebut 'The Herb of Longevity'. Sangat populer untuk mempercepat penyembuhan luka dan meningkatkan daya ingat.,Lalap mentah 3-5 lembar daun segar setiap hari. Atau jus segenggam daun campur madu untuk masker wajah (luka jerawat).,Aman. Dosis tinggi bisa menyebabkan pusing/kantuk. Hentikan 2 minggu sebelum operasi.
10,10,Pucuk daunnya adalah resep nenek moyang paling ampuh untuk diare akut dan Demam Berdarah (DBD).,"Untuk diare: Kunyah pucuk daun muda dengan sedikit garam lalu telan airnya. Untuk DBD: Jus 5-7 lembar daun, saring, minum.",Sangat aman. Bisa menyebabkan sembelit (susah BAB) jika dikonsumsi berlebihan saat sehat.
11,11,"Mengkudu adalah tanaman herbal yang bermanfaat untuk Menurunkan darah tinggi, Meningkatkan imun.","Jus buah matang, saring, campur madu.",Status untuk Ibu Hamil: WASPADA.
12,12,"Mahkota Dewa adalah tanaman herbal yang bermanfaat untuk Kanker/Tumor, Asam urat.",Rebus irisan daging buah kering (JANGAN BIJINYA).,Status untuk Ibu Hamil: KONTRAINDIKASI.
13,13,"Sirih Hijau adalah tanaman herbal yang bermanfaat untuk Obat kumur, Mimisan.",Rebus daun untuk kumur/basuh. Gulung untuk sumbat hidung.,Status untuk Ibu Hamil: AMAN (Luar).
14,14,"Sirih Merah adalah tanaman herbal yang bermanfaat untuk Luka diabetes, Gula darah.","Rebus 3-5 lembar, minum atau cuci luka.",Status untuk Ibu Hamil: WASPADA.
15,15,"Daun Salam adalah tanaman herbal yang bermanfaat untuk Asam urat, Kolesterol.",Rebus 7 lembar daun tua dengan 2 gelas air.,Status untuk Ibu Hamil: AMAN.
16,16,"Seledri adalah tanaman herbal yang bermanfaat untuk Darah tinggi, Cuci ginjal (diuretik).",Jus batang seledri atau rebus bijinya.,Status untuk Ibu Hamil: KONTRAINDIKASI (Biji).
17,17,"Bawang Putih adalah tanaman herbal yang bermanfaat untuk Kolesterol jahat, Darah kental.",Makan mentah 1 siung (geprek dulu) atau Black Garlic.,Status untuk Ibu Hamil: AMAN.
18,18,"Kayu Manis adalah tanaman herbal yang bermanfaat untuk Gula darah (Diabetes), Menghangatkan tubuh.",Rebus kulit kayu atau campur bubuk ke minuman.,Status untuk Ibu Hamil: WASPADA.
19,19,"Lidah Buaya adalah tanaman herbal yang bermanfaat untuk Luka bakar, Penyubur rambut.",Oles gel ke luka/rambut. Jus gel (bersih lendir) untuk minum.,Status untuk Ibu Hamil: KONTRAINDIKASI (Oral).
20,20,"Brotowali adalah tanaman herbal yang bermanfaat untuk Diabetes, Gatal-gatal (mandi).","Rebus batang, minum (sangat pahit).",Status untuk Ibu Hamil: KONTRAINDIKASI.
21,21,"Pare adalah tanaman herbal yang bermanfaat untuk Diabetes (Insulin alami), Menurunkan berat badan.",Jus pare mentah buang biji.,Status untuk Ibu Hamil: KONTRAINDIKASI.
22,22,"Rosella adalah tanaman herbal yang bermanfaat untuk Darah tinggi, Antioksidan.",Seduh kelopak bunga kering dengan air panas.,Status untuk Ibu Hamil: WASPADA.
23,23,"Kelor adalah tanaman herbal yang bermanfaat untuk Pelancar ASI, Gizi buruk/Stunting.",Sayur bening daun kelor (jangan masak terlalu lama).,Status untuk Ibu Hamil: AMAN (Daun).
24,24,"Tempuyung adalah tanaman herbal yang bermanfaat untuk Batu ginjal, Asam urat.","Rebus 5 lembar daun segar, minum 3x sehari.",Status untuk Ibu Hamil: AMAN.
25,25,"Keji Beling adalah tanaman herbal yang bermanfaat untuk Batu kandung kemih, Batu ginjal.","Rebus 7 lembar daun (kasar), saring.",Status untuk Ibu Hamil: AMAN.
26,26,"Daun Ungu adalah tanaman herbal yang bermanfaat untuk Wasir/Ambeien, Sembelit.","Rebus 7 lembar daun ungu, minum rutin.",Status untuk Ibu Hamil: AMAN.
27,27,"Jintan Hitam adalah tanaman herbal yang bermanfaat untuk Booster imun, Asma/Alergi.",Kunyah biji atau minum minyak habbatussauda.,Status untuk Ibu Hamil: WASPADA.
28,28,"Pasak Bumi adalah tanaman herbal yang bermanfaat untuk Stamina pria, Disfungsi ereksi.",Rebus potongan akar (rasa pahit awet).,Status untuk Ibu Hamil: KONTRAINDIKASI.
29,29,"Purwoceng adalah tanaman herbal yang bermanfaat untuk Libido pria, Menghangatkan tubuh.",Seduh bubuk akar dengan kopi/susu.,Status untuk Ibu Hamil: WASPADA.
30,30,"Kulit Manggis adalah tanaman herbal yang bermanfaat untuk Mencegah kanker, Kesehatan kulit.",Rebus kulit manggis kering (sepat).,Status untuk Ibu Hamil: AMAN.
31,31,"Daun Sirsak adalah tanaman herbal yang bermanfaat untuk Kanker (Payudara/Paru), Asam urat.",Rebus 10-15 lembar daun tua.,Status untuk Ibu Hamil: KONTRAINDIKASI.
32,32,"Keladi Tikus adalah tanaman herbal yang bermanfaat untuk Kanker payudara, Detoksifikasi.",Jus umbi/tanaman dengan pengolahan khusus (hilangkan gatal).,Status untuk Ibu Hamil: KONTRAINDIKASI.
33,33,"Sarang Semut adalah tanaman herbal yang bermanfaat untuk Tumor/Benjolan, Jantung.",Rebus irisan kering sarang semut.,Status untuk Ibu Hamil: WASPADA.
34,34,"Bawang Dayak adalah tanaman herbal yang bermanfaat untuk Kista/Miom, Kanker payudara.",Rebus atau makan langsung bawang dayak.,Status untuk Ibu Hamil: KONTRAINDIKASI.
35,35,"Ciplukan adalah tanaman herbal yang bermanfaat untuk Diabetes, Gondongan.",Rebus seluruh tanaman kering. Buah matang boleh dimakan.,Status untuk Ibu Hamil: KONTRAINDIKASI.
36,36,"Secang adalah tanaman herbal yang bermanfaat untuk Menghangatkan tubuh, Asam urat.",Seduh serutan kayu (air jadi merah).,Status untuk Ibu Hamil: AMAN.
