id,herbal_id,nama_herbal_lain,efek,mekanisme
1,1,Kunyit,Sinergis (Meningkatkan efek perlindungan hati dan anti-peradangan).,Kurkuminoid pada kunyit dan xanthorrhizol pada temulawak bekerja bersama menghambat enzim COX-2 dan iNOS.
2,2,Lada Hitam,Sinergis Super (Meningkatkan penyerapan Curcumin hingga 2000%).,"Piperine dalam lada hitam menghambat enzim UDP-glukuronosiltransferase di hati dan usus, mencegah pemecahan curcumin sebelum diserap darah."
3,3,-,belum ada data yang ditemukan,belum ada data yang ditemukan
4,4,-,belum ada data yang ditemukan,belum ada data yang ditemukan
5,5,-,belum ada data yang ditemukan,belum ada data yang ditemukan
6,6,Brotowali,Risiko Toksisitas (Iritasi lambung berat dan hipoglikemia).,Penambahan efek penurunan gula darah yang terlalu kuat dan akumulasi zat pahit ekstrem (andrographolide + pikroretin) mengiritasi mukosa lambung.
7,7,-,belum ada data yang ditemukan,belum ada data yang ditemukan
8,8,Meniran,Sinergis (Efektif meluruhkan batu ginjal).,"Kumis kucing bertindak sebagai diuretik untuk membilas saluran kemih, sementara meniran mencegah kristalisasi kalsium oksalat baru."
9,9,-,belum ada data yang ditemukan,belum ada data yang ditemukan
10,10,-,belum ada data yang ditemukan,belum ada data yang ditemukan
11,11,-,belum ada data yang ditemukan,belum ada data yang ditemukan
12,12,-,belum ada data yang ditemukan,belum ada data yang ditemukan
13,13,Pinang,Risiko Karsinogenik (Penyebab Kanker Mulut).,"Jika dikunyah bersama kapur secara rutin (tradisi nyirih), alkaloid arecoline dari pinang dan fenol dari sirih memicu stres oksidatif kronis pada mukosa mulut."
14,14,-,belum ada data yang ditemukan,belum ada data yang ditemukan
15,15,-,belum ada data yang ditemukan,belum ada data yang ditemukan
16,16,-,belum ada data yang ditemukan,belum ada data yang ditemukan
17,17,Daun Dewa,Risiko Pendarahan (Bleeding).,Keduanya memiliki aktivitas antikoagulan dan antiplatelet yang sangat kuat. Jika digabung dapat memperpanjang waktu pendarahan secara bahaya.
18,18,-,belum ada data yang ditemukan,belum ada data yang ditemukan
19,19,-,belum ada data yang ditemukan,belum ada data yang ditemukan
20,20,-,belum ada data yang ditemukan,belum ada data yang ditemukan
21,21,-,belum ada data yang ditemukan,belum ada data yang ditemukan
22,22,-,belum ada data yang ditemukan,belum ada data yang ditemukan
23,23,-,belum ada data yang ditemukan,belum ada data yang ditemukan
24,24,Keji Beling,Sinergis (Penghancur batu ginjal kalsium).,"Kandungan kalium tinggi dari keduanya melancarkan diuresis, sementara silikat dari keji beling dan flavonoid tempuyung memecah ikatan batu kalsium oksalat."
25,25,-,belum ada data yang ditemukan,belum ada data yang ditemukan
26,26,-,belum ada data yang ditemukan,belum ada data yang ditemukan
27,27,-,belum ada data yang ditemukan,belum ada data yang ditemukan
28,28,-,belum ada data yang ditemukan,belum ada data yang ditemukan
29,29,-,belum ada data yang ditemukan,belum ada data yang ditemukan
30,30,-,belum ada data yang ditemukan,belum ada data yang ditemukan
31,31,Keladi Tikus,Sinergis (Terapi ajuvan antikanker).,"Acetogenin dari sirsak menyebabkan deplesi ATP pada mitokondria sel kanker, sementara Ribosome Inactivating Protein (RIP) dari keladi tikus merusak rantai RNA sel kanker mati."
32,32,-,belum ada data yang ditemukan,belum ada data yang ditemukan
33,33,-,belum ada data yang ditemukan,belum ada data yang ditemukan
34,34,-,belum ada data yang ditemukan,belum ada data yang ditemukan
35,35,-,belum ada data yang ditemukan,belum ada data yang ditemukan
36,36,-,belum ada data yang ditemukan,belum ada data yang ditemukan
37,37,-,belum ada data yang ditemukan,belum ada data yang ditemukan
38,38,-,belum ada data yang ditemukan,belum ada data yang ditemukan
39,39,-,belum ada data yang ditemukan,belum ada data yang ditemukan
40,40,-,belum ada data yang ditemukan,belum ada data yang ditemukan
41,41,-,belum ada data yang ditemukan,belum ada data yang ditemukan
42,42,Semua Herbal Berbasis Polifenol,Sinergis (Meningkatkan bioavailabilitas).,"Piperine memblokir enzim metabolisme dan transporter P-glycoprotein di usus, membuat senyawa dari herbal lain lebih mudah masuk ke peredaran darah."
43,43,-,belum ada data yang ditemukan,belum ada data yang ditemukan
44,44,-,belum ada data yang ditemukan,belum ada data yang ditemukan
45,45,-,belum ada data yang ditemukan,belum ada data yang ditemukan
46,46,Kemuning,Sinergis (Penurun berat badan/obesitas).,"Tanin pada jati belanda menghambat penyerapan nutrisi dan lemak di usus (astringen), sedangkan flavonoid kemuning memblokir kerja enzim lipase pankreas."
47,47,-,belum ada data yang ditemukan,belum ada data yang ditemukan
48,48,-,belum ada data yang ditemukan,belum ada data yang ditemukan
49,49,-,belum ada data yang ditemukan,belum ada data yang ditemukan
50,50,-,belum ada data yang ditemukan,belum ada data yang ditemukan
51,51,-,belum ada data yang ditemukan,belum ada data yang ditemukan
52,52,-,belum ada data yang ditemukan,belum ada data yang ditemukan
53,53,-,belum ada data yang ditemukan,belum ada data yang ditemukan
54,54,-,belum ada data yang ditemukan,belum ada data yang ditemukan
55,55,-,belum ada data yang ditemukan,belum ada data yang ditemukan
56,56,-,belum ada data yang ditemukan,belum ada data yang ditemukan
57,57,-,belum ada data yang ditemukan,belum ada data yang ditemukan
58,58,-,belum ada data yang ditemukan,belum ada data yang ditemukan
59,59,-,belum ada data yang ditemukan,belum ada data yang ditemukan
60,60,-,belum ada data yang ditemukan,belum ada data yang ditemukan
61,61,-,belum ada data yang ditemukan,belum ada data yang ditemukan
62,62,-,belum ada data yang ditemukan,belum ada data yang ditemukan
63,63,-,belum ada data yang ditemukan,belum ada data yang ditemukan
64,64,-,belum ada data yang ditemukan,belum ada data yang ditemukan
65,65,-,belum ada data yang ditemukan,belum ada data yang ditemukan
66,66,-,belum ada data yang ditemukan,belum ada data yang ditemukan
67,67,-,belum ada data yang ditemukan,belum ada data yang ditemukan
68,68,-,belum ada data yang ditemukan,belum ada data yang ditemukan
69,69,-,belum ada data yang ditemukan,belum ada data yang ditemukan
70,70,Sirih Hijau,Risiko Karsinogenik (Kanker Mulut).,Interaksi arecoline pinang dan minyak atsiri sirih menginduksi stres oksidatif pada sel squamosa jika dipakai rutin (mengunyah sirih/pinang).
71,71,-,belum ada data yang ditemukan,belum ada data yang ditemukan
72,72,-,belum ada data yang ditemukan,belum ada data yang ditemukan
73,73,-,belum ada data yang ditemukan,belum ada data yang ditemukan
74,74,-,belum ada data yang ditemukan,belum ada data yang ditemukan
75,75,-,belum ada data yang ditemukan,belum ada data yang ditemukan
76,76,-,belum ada data yang ditemukan,belum ada data yang ditemukan
77,77,-,belum ada data yang ditemukan,belum ada data yang ditemukan
78,78,-,belum ada data yang ditemukan,belum ada data yang ditemukan
